matchup_id,date,city,state,country,arena,attendance
136,2014-11-14 21:00:00,San Antonio,Texas,,Alice P. McDermott Convocation Center,1082.0
137,2014-11-14 21:00:00,Baton Rouge,Louisiana,,F.G. Clark Center,1104.0
138,2014-11-14 21:00:00,Tuscaloosa,Alabama,,Coleman Coliseum,10345.0
139,2014-11-14 21:00:00,Madison,Wisconsin,,Kohl Center,17279.0
140,2014-11-14 21:00:00,Columbia,Missouri,,Mizzou Arena,7014.0
141,2014-11-14 21:00:00,South Bend,Indiana,,Purcell Pavilion at the Joyce Center,7360.0
142,2014-11-14 21:00:00,Nashville,Tennessee,,Allen Arena,865.0
143,2014-11-14 21:05:00,Orem,Utah,,UCCU Events Center,2302.0
144,2014-11-14 21:30:00,Milwaukee,Wisconsin,,BMO Harris Bradley Center,12901.0
145,2014-11-14 21:30:00,Waco,Texas,,Ferrell Center,6158.0
146,2014-11-14 22:00:00,Malibu,California,,Firestone Fieldhouse,2003.0
147,2014-11-14 22:00:00,Santa Clara,California,,Leavey Center,1226.0
148,2014-11-14 22:00:00,Albuquerque,New Mexico,,The Pit Arena,13927.0
149,2014-11-14 22:00:00,Portland,Oregon,,Earle A. Chiles Center,1622.0
150,2014-11-14 22:00:00,Moraga,California,,McKeon Pavilion,2710.0
151,2014-11-14 22:00:00,Rosemont,Illinois,,Allstate Arena,3501.0
152,2014-11-14 22:00:00,Seattle,Washington,,Alaska Airlines Arena,2898.0
153,2014-11-14 22:00:00,El Paso,Texas,,Don Haskins Center,10419.0
154,2014-11-14 22:00:00,Auburn,Alabama,,Auburn Arena,8114.0
155,2014-11-14 22:30:00,Las Vegas,Nevada,,Thomas & Mack Center,12582.0
156,2014-11-14 23:59:00,Eugene,Oregon,,Matthew Knight Arena,5476.0
157,2014-11-14 23:59:00,Honolulu,Hawaii,,Stan Sheriff Center,5875.0
158,2014-11-15 12:00:00,Daytona Beach,Florida,,Moore Gym,
159,2014-11-15 13:00:00,Tallahassee,Florida,,Donald L. Tucker Center,6271.0
160,2014-11-15 14:00:00,Fort Myers,Florida,,Alico Arena,4582.0
161,2014-11-15 14:00:00,Ann Arbor,Michigan,,Crisler Center,12707.0
162,2014-11-15 14:00:00,Pittsburgh,Pennsylvania,,A.J. Palumbo Center,2397.0
163,2014-11-15 14:00:00,Buffalo,New York,,Koessler Athletic Center,1340.0
164,2014-11-15 15:05:00,Des Moines,Iowa,,Knapp Center,3362.0
165,2014-11-15 16:00:00,Rock Hill,South Carolina,,Winthrop Coliseum,2328.0
166,2014-11-15 16:00:00,Green Bay,Wisconsin,,Resch Center,3201.0
167,2014-11-15 16:30:00,Philadelphia,Pennsylvania,,Palestra,2535.0
168,2014-11-15 17:30:00,Los Angeles,California,,Albert Gersten Pavilion,1362.0
169,2014-11-15 18:00:00,Reno,Nevada,,Lawlor Events Center,5060.0
170,2014-11-15 19:00:00,Long Beach,California,,The Pyramid,4727.0
171,2014-11-15 19:00:00,St. Bonaventure,New York,,Reilly Center,3837.0
172,2014-11-15 19:00:00,Norfolk,Virginia,,Constant Convocation Center,6619.0
173,2014-11-15 20:00:00,St. Louis,Missouri,,Chaifetz Arena,10015.0
174,2014-11-15 20:00:00,Durham,North Carolina,,Cameron Indoor Stadium,9314.0
175,2014-11-15 20:00:00,Tulsa,Oklahoma,,Mabee Center,6534.0
176,2014-11-15 22:00:00,Honolulu,Hawaii,,Stan Sheriff Center,
177,2014-11-15 22:00:00,Santa Clara,California,,Leavey Center,1203.0
178,2014-11-15 23:59:00,Honolulu,Hawaii,,Stan Sheriff Center,6070.0
179,2014-11-15 12:00:00,Washington,District of Columbia,,Verizon Center,7854.0
180,2014-11-15 13:00:00,Baton Rouge,Louisiana,,Pete Maravich Assembly Center,6745.0
181,2014-11-15 14:00:00,Davidson,North Carolina,,Belk Arena,3884.0
