box_score_id,player_id,minutes_played,fg,fg_a,two_pt,two_pt_a,three_pt,three_pt_a,ft,ft_a,o_reb,d_reb,assist,pf,stl,to,blk,pts
9455,786152,35,6,8,5,6,1,2,6,8,4,8,0,4,1,1,1,19
9455,798003,35,4,12,4,6,0,6,6,9,2,1,5,5,0,4,0,14
9455,792265,34,3,11,0,1,3,10,0,2,4,3,0,4,3,2,1,9
9455,792266,19,1,7,0,0,1,7,1,2,0,4,3,4,0,3,0,4
9455,792267,35,1,8,1,2,0,6,1,3,0,2,2,2,1,3,0,3
9455,792263,18,4,10,1,4,3,6,0,0,4,3,0,0,1,1,0,11
9455,798006,13,2,5,1,2,1,3,3,4,2,1,1,0,2,2,0,8
9455,798007,11,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
9456,781505,32,6,7,5,5,1,2,3,6,4,5,2,1,0,1,0,16
9456,780353,32,6,11,6,11,0,0,3,7,3,8,0,2,0,2,1,15
9456,791317,35,3,10,1,4,2,6,6,7,0,3,5,2,2,5,0,14
9456,777573,30,4,10,2,7,2,3,0,0,0,3,2,3,1,0,0,10
9456,776279,32,2,6,2,2,0,4,1,2,1,6,4,3,1,1,0,5
9456,786222,15,4,6,3,5,1,1,1,1,1,1,0,2,0,0,0,10
9456,790851,9,2,2,2,2,0,0,0,0,0,0,0,2,0,1,0,4
9456,796649,15,0,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0
9457,786424,35,6,11,6,11,0,0,2,4,0,9,0,3,0,0,0,14
9457,792366,30,5,11,5,11,0,0,3,4,1,2,1,5,1,3,0,13
9457,785483,35,2,6,2,4,0,2,3,3,0,4,6,2,2,3,0,7
9457,781454,32,3,10,2,7,1,3,0,1,2,2,1,2,2,1,0,7
9457,791015,23,2,2,2,2,0,0,2,2,0,1,2,1,0,1,0,6
9457,775335,12,2,5,0,0,2,5,2,2,0,0,0,2,0,0,0,8
9457,797979,21,3,5,2,2,1,3,0,0,0,2,0,2,1,1,0,7
9457,785959,12,1,2,1,2,0,0,0,0,0,2,0,3,0,0,2,2
9458,792632,34,5,9,5,9,0,0,4,6,5,5,0,4,4,0,2,14
9458,792627,19,4,7,4,6,0,1,2,4,1,2,1,2,1,1,0,10
9458,792626,18,1,3,1,2,0,1,1,3,1,1,3,1,1,0,0,3
9458,781491,33,3,6,2,4,1,2,4,4,1,3,3,3,4,3,0,11
9458,780250,31,4,15,1,5,3,10,6,7,1,4,3,3,2,1,0,17
9458,796637,5,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
9458,796634,8,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1
9458,796642,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9458,792629,24,2,7,1,4,1,3,8,8,0,0,6,0,1,2,0,13
9458,792631,27,4,8,1,1,3,7,0,0,0,2,2,2,0,1,0,11
9459,791988,37,7,12,7,12,0,0,1,3,2,11,1,3,1,3,0,15
9459,792443,20,1,1,1,1,0,0,0,0,4,0,2,3,0,2,1,2
9459,796508,34,6,7,1,1,5,6,0,0,0,5,4,4,0,0,0,17
9459,796503,32,4,13,3,7,1,6,3,3,2,3,5,2,2,6,0,12
9459,791989,34,5,11,3,6,2,5,1,2,1,0,4,3,0,2,0,13
9459,780077,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
9459,796506,7,0,1,0,1,0,0,2,2,0,1,0,1,0,0,0,2
9459,796507,22,3,8,1,5,2,3,1,3,1,2,1,3,0,4,1,9
9459,785258,10,0,2,0,1,0,1,2,2,0,4,2,2,1,0,1,2
9460,792227,39,5,14,3,8,2,6,3,4,1,5,3,4,0,3,2,15
9460,781352,23,3,7,3,7,0,0,0,0,2,1,1,1,0,3,1,6
9460,792223,34,6,16,2,7,4,9,1,2,1,9,1,2,0,2,0,17
9460,785935,41,9,17,7,12,2,5,0,2,1,6,2,1,3,1,0,20
9460,781340,32,2,2,2,2,0,0,1,2,2,3,4,5,0,0,0,5
9460,797881,22,3,6,3,6,0,0,4,4,0,3,1,5,1,1,2,10
9460,781351,6,0,2,0,1,0,1,0,0,0,0,1,0,0,0,1,0
9460,797882,26,0,1,0,1,0,0,0,0,0,2,0,3,0,0,0,0
9460,786453,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9461,780832,13,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
9461,790961,39,2,7,2,7,0,0,1,2,4,5,5,4,3,3,1,5
9461,785278,42,5,21,2,12,3,9,3,4,1,7,1,1,0,1,0,16
9461,780146,38,5,13,1,5,4,8,14,17,0,6,2,2,0,2,0,28
9461,775860,40,8,14,3,4,5,10,2,5,0,6,3,0,1,0,0,23
9461,796554,32,2,3,2,3,0,0,0,2,2,2,0,4,0,1,0,4
9461,796555,6,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
9461,796553,13,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
9461,786240,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9462,792378,24,2,5,2,5,0,0,2,2,2,3,0,2,1,1,4,6
9462,786746,26,2,7,0,2,2,5,2,2,1,4,3,3,0,1,0,8
9462,780178,20,3,9,3,9,0,0,0,0,4,3,0,2,0,2,0,6
9462,792376,34,5,12,5,7,0,5,2,3,0,5,4,3,1,3,0,12
9462,797883,38,3,4,3,3,0,1,1,2,1,3,7,2,1,4,0,7
9462,797890,28,4,11,2,4,2,7,0,0,0,5,2,2,0,0,0,10
9462,797888,3,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0
9462,775075,21,5,5,5,5,0,0,0,0,1,4,0,2,0,0,1,10
9462,785744,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2
9462,797885,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3
9463,796347,15,0,3,0,2,0,1,0,0,2,3,0,1,0,0,0,0
9463,785243,26,3,7,2,5,1,2,3,4,4,5,1,1,0,4,0,10
9463,790788,32,3,7,0,1,3,6,4,4,1,0,4,1,0,1,0,13
9463,781028,36,5,15,2,7,3,8,0,1,0,3,3,2,1,1,0,13
9463,781026,31,2,12,1,7,1,5,1,2,2,1,2,2,1,1,0,6
9463,785242,19,1,2,1,2,0,0,0,2,2,3,1,3,0,1,2,2
9463,781027,14,2,4,1,1,1,3,0,0,1,3,1,1,0,0,0,5
9463,796348,13,0,4,0,4,0,0,0,0,1,0,1,1,0,1,0,0
9463,796349,14,1,3,1,1,0,2,1,2,1,0,1,1,2,0,0,3
9464,792029,35,7,13,6,10,1,3,2,4,2,7,5,3,0,1,1,17
9464,797637,34,2,3,1,1,1,2,2,3,0,2,1,4,1,1,0,7
9464,761149,39,3,8,1,3,2,5,12,15,2,8,0,4,1,0,0,20
9464,792031,34,5,9,3,6,2,3,0,0,1,2,7,3,0,2,0,12
9464,780828,36,9,16,7,12,2,4,4,6,0,8,5,2,0,3,0,24
9464,785822,5,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2
9464,797640,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2
9464,797636,9,1,1,1,1,0,0,0,0,0,1,0,3,0,1,0,2
9464,792030,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
9465,797779,40,4,12,3,7,1,5,3,4,5,4,1,1,1,1,0,12
9465,785568,23,1,2,1,2,0,0,1,2,1,5,0,5,1,2,0,3
9465,797778,14,4,11,1,4,3,7,0,0,0,2,0,5,0,0,0,11
9465,786256,28,2,5,2,5,0,0,0,0,0,2,1,2,0,1,1,4
9465,797774,26,3,9,2,4,1,5,9,10,2,3,0,3,0,1,0,16
9465,797770,6,1,2,1,2,0,0,0,0,0,0,1,3,1,1,0,2
9465,797781,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9465,797780,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9465,797771,9,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0
9465,797768,21,3,11,1,4,2,7,0,0,0,1,1,1,1,0,0,8
9465,775106,28,4,7,4,5,0,2,5,6,1,2,0,3,0,3,0,13
9466,797695,19,8,10,8,10,0,0,1,3,2,4,0,4,1,3,0,17
9466,797699,13,2,4,2,4,0,0,0,0,0,0,3,0,1,2,0,4
9466,797692,33,2,2,0,0,2,2,1,2,0,2,2,1,0,1,0,7
9466,791954,27,1,5,1,2,0,3,7,9,1,1,1,0,1,1,0,9
9466,780846,40,4,11,4,10,0,1,4,9,2,7,5,2,2,4,1,12
9466,797694,26,4,6,0,0,4,6,2,2,1,1,2,3,1,1,1,14
9466,780844,19,4,7,0,0,4,7,0,0,0,2,1,3,0,0,1,12
9466,791956,23,2,4,2,3,0,1,1,2,0,2,1,2,0,2,0,5
9467,796479,11,0,2,0,0,0,2,0,0,0,1,2,2,0,2,0,0
9467,781560,16,4,4,4,4,0,0,0,0,0,1,0,5,0,0,0,8
9467,791375,32,3,5,2,3,1,2,0,0,0,6,3,1,1,2,0,7
9467,785482,32,7,12,7,11,0,1,3,5,1,3,0,1,1,1,0,17
9467,780837,35,3,10,3,8,0,2,4,4,0,1,0,5,0,2,0,10
9467,786164,31,3,7,2,4,1,3,0,0,2,2,0,5,0,1,1,7
9467,796477,20,2,3,1,1,1,2,2,2,0,3,1,2,1,6,0,7
9467,796473,23,5,7,5,6,0,1,3,4,1,2,2,2,3,2,0,13
9468,791344,32,2,5,2,5,0,0,1,2,4,5,0,3,2,2,1,5
9468,781425,32,6,7,6,7,0,0,2,6,3,10,1,3,0,1,2,14
9468,791343,40,4,13,4,11,0,2,3,6,1,8,8,2,0,4,0,11
9468,781602,40,11,23,6,13,5,10,7,11,2,3,2,4,2,0,0,34
9468,775746,22,4,6,2,2,2,4,2,2,0,0,1,4,1,1,0,12
9468,781601,8,1,3,1,3,0,0,0,0,2,3,1,3,0,0,1,2
9468,797000,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
9468,786611,18,1,3,0,1,1,2,2,2,0,0,0,1,1,0,0,5
